location,sample_date,h3_result_pci_l,mdc_pci_l
South Creek,3/1/2023,<MDC,127
South Creek,5/31/2023,<MDC,127
South Creek,10/26/2023,<MDC,127
Trout Lake A,3/1/2023,704,127
Trout Lake A,5/31/2023,679,127
Trout Lake A,9/5/2023,683,127
Trout Lake A,10/26/2023,621,127
Trout Lake C,3/1/2023,591,127
Trout Lake C,5/31/2023,799,127
Trout Lake C,9/5/2023,705,127
Trout Lake C,10/26/2023,726,127
Trout Lake D,3/1/2023,753,127
Trout Lake D,5/31/2023,724,127
Trout Lake D,9/5/2023,678,127
Trout Lake D,10/26/2023,669,127
Well 150,3/1/2023,<MDC,127
Well 150,5/31/2023,<MDC,127
Well 150,9/5/2023,<MDC,127
Well 150,10/26/2023,<MDC,127
Well 511,3/1/2023,<MDC,127
Well 511,5/31/2023,<MDC,127
Well 511,9/5/2023,<MDC,127
Well 511,10/26/2023,<MDC,127
Well 512,5/31/2023,3300,127
Well 512,9/5/2023,3220,127
Well 512,10/26/2023,3150,127
Well 513,5/31/2023,<MDC,127
Well 513,9/5/2023,<MDC,127
Well 513,10/26/2023,<MDC,127
Well 515,3/1/2023,<MDC,127
Well 515,5/31/2023,<MDC,127
Well 515,9/5/2023,<MDC,127
Well 515,10/26/2023,<MDC,127
Well 516,3/1/2023,<MDC,127
Well 516,5/31/2023,<MDC,127
Well 516,9/5/2023,<MDC,127
Well 516,10/26/2023,<MDC,127
Well 525,3/1/2023,224,127
Well 525,5/31/2023,222,127
Well 525,9/5/2023,244,127
Well 525,10/26/2023,285,127
Well 563,3/1/2023,21200,127
Well 563,5/31/2023,24900,127
Well 563,9/5/2023,27900,127
Well 563,10/26/2023,19500,127
Well 566,3/1/2023,<MDC,127
Well 566,5/31/2023,181,127
Well 566,10/26/2023,<MDC,127
Well 567,3/1/2023,812,127
Well 567,5/31/2023,656,127
Well 567,9/5/2023,649,127
Well 567,10/26/2023,744,127
Well 570,3/1/2023,<MDC,127
Well 570,5/31/2023,<MDC,127
Well 570,9/5/2023,<MDC,127
Well 570,10/26/2023,<MDC,127
Well 574,3/1/2023,<MDC,127
Well 574,5/31/2023,<MDC,127
Well 574,9/5/2023,<MDC,127
Well 574,10/26/2023,<MDC,127
Well 575,3/1/2023,28200,127
Well 575,5/31/2023,21300,127
Well 575,9/5/2023,28100,127
Well 575,10/26/2023,14700,127
Well 577,3/1/2023,20600,127
Well 577,5/31/2023,17900,127
Well 577,9/5/2023,27100,127
Well 577,10/26/2023,49500,127
Well 600,3/1/2023,3670,127
Well 600,5/31/2023,7630,127
Well 602,3/1/2023,1440,127
Well 602,5/31/2023,1380,127
Well 602,9/5/2023,1470,127
Well 602,10/26/2023,1430,127
Well 604,3/1/2023,<MDC,127
Well 604,5/31/2023,<MDC,127
Well 604,9/5/2023,<MDC,127
Well 604,10/26/2023,<MDC,127
Well 606,3/1/2023,<MDC,127
Well 606,5/31/2023,<MDC,127
Well 607,3/1/2023,<MDC,127
Well 607,5/31/2023,<MDC,127
Well 607,9/5/2023,<MDC,127
Well 607,10/26/2023,<MDC,127
Well H,5/31/2023,448,127
Well H,9/5/2023,413,127
Well H,10/26/2023,338,127
Well I,5/31/2023,<MDC,127
Well J,3/1/2023,<MDC,127
Well J,5/31/2023,<MDC,127
Well J,9/5/2023,<MDC,127
Well J,10/26/2023,<MDC,127
Well M,3/1/2023,<MDC,127
Well M,5/31/2023,<MDC,127
Well M,9/5/2023,<MDC,127
Well M,10/26/2023,<MDC,127
Well TB,3/1/2023,957,127
Well TB,5/31/2023,975,127
Well TB,9/5/2023,1190,127
Well TB,10/26/2023,1140,127
