well_id,sample_date,tritium_pci_l
MW-01,1982-03-31,422.5
MW-01,1982-06-30,413.2
MW-01,1982-09-30,465.1
MW-01,1982-12-31,431.2
MW-01,1983-03-31,440.5
MW-01,1983-06-30,388.9
MW-01,1983-09-30,452.0
MW-01,1983-12-31,366.1
MW-01,1984-03-31,410.4
MW-01,1984-06-30,465.0
MW-01,1984-09-30,456.3
MW-01,1984-12-31,488.0
MW-01,1985-03-31,434.5
MW-01,1985-06-30,408.6
MW-01,1985-09-30,394.8
MW-01,1985-12-31,361.7
MW-01,1986-03-31,435.9
MW-01,1986-06-30,379.6
MW-01,1986-09-30,462.4
MW-01,1986-12-31,544.8
MW-01,1987-03-31,384.1
MW-01,1987-06-30,463.6
MW-01,1987-12-31,391.1
MW-01,1988-03-31,429.7
MW-01,1988-06-30,360.0
MW-01,1988-09-30,430.0
MW-01,1988-12-31,426.8
MW-01,1989-06-30,429.1
MW-01,1989-09-30,430.6
MW-01,1989-12-31,430.6
MW-01,1990-03-31,431.4
MW-01,1990-06-30,381.1
MW-01,1990-09-30,385.7
MW-01,1990-12-31,381.6
MW-01,1991-03-31,386.9
MW-01,1991-06-30,367.2
MW-01,1991-09-30,411.9
MW-01,1991-12-31,449.8
MW-01,1992-03-31,483.8
MW-01,1992-06-30,404.4
MW-01,1992-09-30,460.5
MW-01,1993-03-31,346.7
MW-01,1993-06-30,412.3
MW-01,1993-09-30,491.8
MW-01,1993-12-31,425.3
MW-01,1994-03-31,414.3
MW-01,1994-06-30,376.8
MW-01,1994-09-30,370.7
MW-01,1994-12-31,419.9
MW-01,1995-03-31,407.9
MW-01,1995-06-30,415.4
MW-01,1995-09-30,380.9
MW-01,1995-12-31,363.3
MW-01,1996-03-31,418.3
MW-01,1996-06-30,431.9
MW-01,1996-09-30,331.1
MW-01,1996-12-31,376.1
MW-01,1997-03-31,440.7
MW-01,1997-06-30,361.3
MW-01,1997-09-30,463.3
MW-01,1997-12-31,403.3
MW-01,1998-03-31,478.6
MW-01,1998-06-30,412.0
MW-01,1998-09-30,474.0
MW-01,1998-12-31,471.7
MW-01,1999-03-31,481.9
MW-01,1999-06-30,457.5
MW-01,1999-09-30,437.2
MW-01,1999-12-31,391.3
MW-01,2000-09-30,476.0
MW-01,2000-12-31,394.9
MW-01,2001-06-30,476.9
MW-01,2001-09-30,373.1
MW-01,2001-12-31,355.3
MW-01,2002-06-30,412.1
MW-01,2002-09-30,460.8
MW-01,2002-12-31,369.7
MW-01,2003-03-31,366.9
MW-01,2003-06-30,466.3
MW-01,2003-09-30,381.0
MW-01,2003-12-31,436.2
MW-01,2004-03-31,403.2
MW-01,2004-06-30,460.3
MW-01,2004-09-30,418.8
MW-01,2004-12-31,347.8
MW-01,2005-03-31,435.9
MW-01,2005-06-30,385.0
MW-01,2005-09-30,421.7
MW-01,2005-12-31,382.4
MW-01,2006-03-31,391.5
MW-01,2006-06-30,379.6
MW-01,2006-09-30,394.4
MW-01,2006-12-31,399.9
MW-01,2007-03-31,452.3
MW-01,2007-06-30,365.3
MW-01,2007-09-30,409.0
MW-01,2007-12-31,436.5
MW-01,2008-03-31,357.8
MW-01,2008-06-30,418.4
MW-01,2008-09-30,427.3
MW-01,2008-12-31,423.3
MW-01,2009-03-31,397.5
MW-01,2009-06-30,417.2
MW-01,2009-09-30,428.9
MW-01,2009-12-31,395.7
MW-01,2010-03-31,419.1
MW-01,2010-06-30,410.4
MW-01,2010-09-30,466.8
MW-01,2010-12-31,464.4
MW-01,2011-03-31,433.2
MW-01,2011-06-30,452.5
MW-01,2011-09-30,398.2
MW-01,2011-12-31,430.5
MW-01,2012-03-31,413.1
MW-01,2012-06-30,468.0
MW-01,2012-09-30,461.5
MW-01,2012-12-31,410.2
MW-01,2013-03-31,439.7
MW-01,2013-06-30,398.8
MW-01,2013-09-30,396.3
MW-01,2013-12-31,483.1
MW-01,2014-03-31,371.5
MW-01,2014-06-30,539.4
MW-01,2014-09-30,413.2
MW-01,2014-12-31,481.8
MW-01,2015-03-31,456.5
MW-01,2015-06-30,430.7
MW-01,2015-09-30,481.7
MW-01,2015-12-31,437.6
MW-02,1982-03-31,672.5
MW-02,1982-09-30,630.2
MW-02,1982-12-31,527.7
MW-02,1983-06-30,586.5
MW-02,1983-09-30,587.0
MW-02,1983-12-31,614.4
MW-02,1984-03-31,647.3
MW-02,1984-06-30,698.6
MW-02,1984-09-30,661.0
MW-02,1984-12-31,620.2
MW-02,1985-03-31,652.6
MW-02,1985-06-30,678.1
MW-02,1985-12-31,612.8
MW-02,1986-03-31,648.2
MW-02,1986-06-30,591.0
MW-02,1986-09-30,731.5
MW-02,1986-12-31,575.3
MW-02,1987-03-31,573.5
MW-02,1987-06-30,550.4
MW-02,1987-09-30,627.4
MW-02,1987-12-31,542.1
MW-02,1988-03-31,631.5
MW-02,1988-06-30,639.4
MW-02,1988-09-30,576.2
MW-02,1988-12-31,714.9
MW-02,1989-03-31,532.1
MW-02,1989-06-30,640.9
MW-02,1989-09-30,575.8
MW-02,1989-12-31,587.1
MW-02,1990-03-31,639.5
MW-02,1990-06-30,460.9
MW-02,1990-09-30,609.7
MW-02,1990-12-31,624.5
MW-02,1991-03-31,496.2
MW-02,1991-06-30,504.9
MW-02,1991-09-30,581.0
MW-02,1991-12-31,479.0
MW-02,1992-03-31,387.6
MW-02,1992-09-30,598.8
MW-02,1992-12-31,622.6
MW-02,1993-03-31,573.9
MW-02,1993-06-30,634.4
MW-02,1993-09-30,670.7
MW-02,1993-12-31,659.6
MW-02,1994-03-31,551.5
MW-02,1994-06-30,583.4
MW-02,1994-09-30,611.2
MW-02,1994-12-31,547.2
MW-02,1995-03-31,612.9
MW-02,1995-06-30,618.2
MW-02,1995-09-30,487.0
MW-02,1995-12-31,596.6
MW-02,1996-03-31,539.9
MW-02,1996-06-30,594.3
MW-02,1996-09-30,664.6
MW-02,1996-12-31,617.9
MW-02,1997-03-31,525.9
MW-02,1997-06-30,521.7
MW-02,1997-09-30,572.3
MW-02,1997-12-31,617.2
MW-02,1998-03-31,529.4
MW-02,1998-09-30,608.3
MW-02,1998-12-31,534.8
MW-02,1999-03-31,596.5
MW-02,1999-06-30,589.4
MW-02,1999-09-30,611.8
MW-02,1999-12-31,578.1
MW-02,2000-03-31,527.8
MW-02,2000-06-30,621.0
MW-02,2000-09-30,532.5
MW-02,2000-12-31,486.3
MW-02,2001-03-31,617.9
MW-02,2001-06-30,535.4
MW-02,2001-09-30,589.6
MW-02,2001-12-31,682.3
MW-02,2002-03-31,526.0
MW-02,2002-06-30,561.3
MW-02,2002-09-30,513.9
MW-02,2002-12-31,485.8
MW-02,2003-03-31,646.6
MW-02,2003-06-30,554.1
MW-02,2003-09-30,638.4
MW-02,2004-06-30,636.9
MW-02,2004-09-30,546.0
MW-02,2004-12-31,463.8
MW-02,2005-03-31,508.9
MW-02,2005-06-30,522.4
MW-02,2005-09-30,532.6
MW-02,2005-12-31,704.0
MW-02,2006-03-31,624.9
MW-02,2006-06-30,646.6
MW-02,2006-09-30,528.7
MW-02,2006-12-31,517.4
MW-02,2007-03-31,581.9
MW-02,2007-06-30,553.9
MW-02,2007-09-30,642.2
MW-02,2007-12-31,520.2
MW-02,2008-03-31,557.1
MW-02,2008-06-30,562.3
MW-02,2008-09-30,601.4
MW-02,2008-12-31,603.6
MW-02,2009-03-31,520.5
MW-02,2009-06-30,601.0
MW-02,2009-09-30,554.7
MW-02,2009-12-31,594.3
MW-02,2010-03-31,605.5
MW-02,2010-06-30,559.4
MW-02,2010-09-30,520.4
MW-02,2010-12-31,635.6
MW-02,2011-03-31,514.3
MW-02,2011-06-30,578.4
MW-02,2011-09-30,665.6
MW-02,2011-12-31,593.2
MW-02,2012-03-31,564.5
MW-02,2012-06-30,572.1
MW-02,2012-09-30,618.8
MW-02,2012-12-31,610.0
MW-02,2013-03-31,610.8
MW-02,2013-06-30,555.1
MW-02,2013-09-30,565.6
MW-02,2013-12-31,641.0
MW-02,2014-03-31,535.2
MW-02,2014-06-30,608.8
MW-02,2014-09-30,605.5
MW-02,2014-12-31,585.5
MW-02,2015-03-31,601.6
MW-02,2015-06-30,565.2
MW-02,2015-09-30,607.2
MW-02,2015-12-31,498.3
MW-03,1982-06-30,113.6
MW-03,1982-09-30,178.5
MW-03,1982-12-31,335.7
MW-03,1983-03-31,566.9
MW-03,1983-06-30,890.9
MW-03,1983-09-30,1160.1
MW-03,1983-12-31,1174.7
MW-03,1984-03-31,1997.4
MW-03,1984-06-30,2843.5
MW-03,1984-09-30,3295.2
MW-03,1984-12-31,4052.6
MW-03,1985-03-31,5391.4
MW-03,1985-06-30,6246.9
MW-03,1985-09-30,7015.8
MW-03,1985-12-31,6787.0
MW-03,1986-03-31,8919.9
MW-03,1986-06-30,9097.6
MW-03,1986-09-30,8884.2
MW-03,1986-12-31,13440.4
MW-03,1987-03-31,11296.5
MW-03,1987-09-30,16241.7
MW-03,1987-12-31,20262.0
MW-03,1988-03-31,20598.8
MW-03,1988-06-30,20744.5
MW-03,1988-09-30,23562.7
MW-03,1988-12-31,22093.7
MW-03,1989-03-31,23729.6
MW-03,1989-06-30,31939.2
MW-03,1989-09-30,29356.0
MW-03,1990-03-31,34351.1
MW-03,1990-06-30,31227.8
MW-03,1990-09-30,43467.6
MW-03,1990-12-31,26545.9
MW-03,1991-03-31,37078.4
MW-03,1991-06-30,34139.1
MW-03,1991-09-30,35033.5
MW-03,1991-12-31,22061.9
MW-03,1992-03-31,35761.6
MW-03,1992-06-30,31386.6
MW-03,1992-09-30,34324.8
MW-03,1992-12-31,35745.0
MW-03,1993-03-31,31438.7
MW-03,1993-06-30,31795.0
MW-03,1993-09-30,19494.5
MW-03,1993-12-31,32270.0
MW-03,1994-03-31,25257.4
MW-03,1994-06-30,32122.3
MW-03,1994-09-30,24835.0
MW-03,1994-12-31,28475.5
MW-03,1995-03-31,35300.2
MW-03,1995-06-30,27096.3
MW-03,1995-09-30,23054.6
